Wczytywanie;Zapisywanie;Usuwanie;Usuwanie ostatniego;Usuwanie pierwszego;Usuwanie wszystkiego;Dodawanie;Dodawaniena pierwszego;Dodawanie ostatniego;Wyszukiwanie;Równowa¿enie drzewa
0.47024;1.05275;80;0;0;188.6;1.3;0;0;21.7;79.8
0.46457;1.1443;30.6;0;0;175.2;1;0;0;18.3;23.8
0.46586;1.05234;30.6;0;0;192.9;0.9;0;0;41.8;30.3
0.46127;1.05431;31.7;0;0;173.8;0.9;0;0;1.6;24.8
0.47106;1.04974;30.3;0;0;160.7;1.2;0;0;10.6;30.3
0.4707;1.05948;31.5;0;0;175.4;1.3;0;0;7.4;23.4
0.47043;1.04933;29.5;0;0;161.8;0.8;0;0;29.9;31.5
0.46391;1.06011;29.6;0;0;157.1;0.8;0;0;22.6;23.7
0.46583;1.04318;30.5;0;0;161.9;0.8;0;0;40.3;30.2
0.4757;1.04763;31;0;0;165.8;1;0;0;19.2;23.7
0.47534;1.05156;29.7;0;0;160.2;0.9;0;0;28.9;31.2
0.45917;1.06014;30.6;0;0;159.4;1;0;0;36.1;24
0.46174;1.05272;30.9;0;0;158.9;0.8;0;0;30;29.4
0.46362;1.05028;29.2;0;0;155.9;0.9;0;0;41.1;23.6
0.4672;1.04825;30.2;0;0;159.5;1;0;0;19.1;29.4
0.46082;1.05564;31.3;0;0;172.3;1.1;0;0;18;24.2
0.46347;1.04852;30.9;0;0;159.3;0.7;0;0;42.5;30.3
0.46326;1.06869;31.4;0;0;169.5;0.8;0;0;21.2;23.7
0.46734;1.04441;31;0;0;159.5;0.9;0;0;34.7;30.7
0.48;1.04265;31.3;0;0;159.9;1.1;0;0;10.3;23.3
0.46574;1.05009;31.1;0;0;158.9;0.6;0;0;3.6;29.5
0.47119;1.05352;30.4;0;0;179.9;0.9;0;0;5;23.1
0.48129;1.03615;30.4;0;0;159.5;1.1;0;0;36.5;30.3
0.46947;1.04826;30.9;0;0;174.2;1;0;0;17.2;24
0.46135;1.04711;39.5;0;0;159.6;1.1;0;0;17.7;30.7
0.46233;1.03769;48.5;0;0;156;0.6;0;0;29.4;23.8
0.46595;1.04552;30.4;0;0;159.1;0.9;0;0;28.6;29
0.469;1.06616;29.8;0;0;157.5;0.8;0;0;14.3;24.1
0.46114;1.04171;31.3;0;0;159.4;0.8;0;0;41.3;30.1
0.46483;1.04836;31.4;0;0;174.4;1;0;0;15.3;24.2
0.45874;1.0488;30.2;0;0;170.4;0.9;0;0;20.6;31.1
0.46715;1.04867;31;0;0;181.4;1.3;0;0;21.1;23.9
0.46694;1.04406;31;0;0;159.7;0.9;0;0;25.2;30.7
0.46627;1.03316;29.5;0;0;167.5;1.2;0;0;25;23.7
0.47971;1.04064;30.8;0;0;178.9;1;0;0;11;31.2
0.46868;1.08854;30.9;0;0;177.3;1.2;0;0;17.9;23.8
0.46352;1.03735;31.4;0;0;229.4;0.8;0;0;24.7;30.7
0.46527;1.03899;30.5;0;0;169.9;1;0;0;32.6;23.6
0.46711;1.03496;31.2;0;0;159.3;0.9;0;0;32.7;31.1
0.46882;1.06209;31.3;0;0;162.5;1.2;0;0;8.2;23.2
0.46847;1.0477;33.9;0;0;159.3;1;0;0;29.8;31
0.46221;1.04402;31;0;0;159.4;0.9;0;0;23.3;23.4
0.46376;2.13033;31.3;0;0;162;0.9;0;0;8.8;30.2
0.47189;1.0409;30.6;0;0;173.9;1.2;0;0;38.8;23.2
0.46156;1.05031;31.1;0;0;159.7;0.7;0;0;37.5;30.2
0.46709;1.04946;31.3;0;0;160.5;1.1;0;0;12.8;23.7
0.46265;1.03778;29.8;0;0;162.5;1;0;0;23.6;30.7
0.46556;1.03295;29.3;0;0;170.5;1.2;0;0;39.5;23.5
0.46799;1.0539;31;0;0;159.4;1.3;0;0;22.7;39.3
0.46667;1.04144;31;0;0;173.7;1;0;0;11.3;23.7
