Wczytywanie;Zapisywanie;Usuwanie;Usuwanie ostatniego;Usuwanie pierwszego;Usuwanie wszystkiego;Dodawanie;Dodawaniena pierwszego;Dodawanie ostatniego;Wyszukiwanie
0.40848;1.04913;1.5;0;0;0.1;0.2;0;0;1.2
0.40726;1.03789;0.7;0;0;0.1;0.2;0;0;1.2
0.41115;1.05112;0.7;0;0;0.1;0.2;0;0;0.4
0.41205;1.03598;2.7;0;0;0.1;0.2;0;0;0.4
0.41035;1.03899;2.6;0;0;0.1;0.1;0;0;0.3
0.41204;1.04176;0.7;0;0;0;0.3;0;0;0.4
0.4246;1.03188;0.9;0;0;0.1;0.2;0;0;2.5
0.41253;1.04411;2.7;0;0;0.1;0.2;0;0;2.5
0.41394;1.04515;1.5;0;0;0;0.2;0;0;2.5
0.4129;1.04461;2.6;0;0;0.1;0.2;0;0;2.4
0.41367;1.03751;0.6;0;0;0.1;0.2;0;0;0.4
0.41065;1.04171;0.9;0;0;0;0.3;0;0;0.4
0.41577;1.05221;1.5;0;0;0.1;0.2;0;0;0.7
0.40952;1.03889;1.5;0;0;0.1;0.2;0;0;0.7
0.41546;1.03678;0.5;0;0;0.1;0.2;0;0;2.4
0.415;1.03572;0.7;0;0;0;0.3;0;0;2.4
0.41153;1.13552;3;0;0;0.1;0.3;0;0;1.3
0.41103;1.03441;0.7;0;0;0.1;0.2;0;0;1.3
0.41165;1.05566;0.7;0;0;0.1;0.3;0;0;2.4
0.41271;1.03829;1.4;0;0;0.1;0.3;0;0;2.4
0.41556;1.04925;2.6;0;0;0;0.1;0;0;0.2
0.41187;1.04;2.6;0;0;0;0.2;0;0;0.3
0.41438;1.02667;2.7;0;0;0.1;0.2;0;0;0.7
0.41541;1.043;1.5;0;0;0.1;0.2;0;0;0.6
0.41226;1.04193;1.5;0;0;0;0.2;0;0;1.2
0.41522;1.02964;2.6;0;0;0.1;0.2;0;0;1.2
0.41421;1.03477;0.7;0;0;0.1;0.2;0;0;1.3
0.41085;1.04009;0.9;0;0;0.1;0.2;0;0;1.3
0.42227;1.03663;0.5;0;0;0.1;0.3;0;0;0.2
0.41039;1.03904;1.4;0;0;0.1;0.2;0;0;0.2
0.41481;1.0324;1.5;0;0;0.1;0.2;0;0;0.4
0.41081;1.03934;0.5;0;0;0.1;0.3;0;0;0.4
0.41327;1.03423;2.6;0;0;0.1;0.1;0;0;1.3
0.41004;1.02994;2.6;0;0;0.1;0.2;0;0;1.3
0.41211;1.02904;2.6;0;0;0.1;0.1;0;0;0.4
0.40959;1.04328;1.5;0;0;0.1;0.3;0;0;0.4
0.41632;1.02862;1.5;0;0;0.1;0.2;0;0;0.4
0.41693;1.03265;2.7;0;0;0.1;0.3;0;0;0.4
0.40973;1.03041;2.6;0;0;0.1;0.2;0;0;1.2
0.41134;1.03767;0.9;0;0;0;0.2;0;0;1.2
0.4102;1.03834;2.6;0;0;0.1;0.2;0;0;2.5
0.40761;1.03103;2.7;0;0;0.1;0.2;0;0;2.4
0.41317;1.05764;2.7;0;0;0.1;0.2;0;0;2.4
0.40629;1.02892;0.9;0;0;0.1;0.2;0;0;2.4
0.41159;1.03776;0.7;0;0;0;0.3;0;0;2.4
0.42286;1.03982;2.6;0;0;0.1;0.2;0;0;2.5
0.42046;1.03312;2.7;0;0;0;0.1;0;0;1.2
0.41531;1.02794;0.9;0;0;0.1;0.3;0;0;1.2
0.42398;1.02553;2.6;0;0;0;0.2;0;0;1.2
0.41309;1.03276;2.6;0;0;0.1;0.2;0;0;1.2
0.41486;1.02082;0.9;0;0;0.1;0.2;0;0;2.4
0.41089;1.02535;2.6;0;0;0.1;0.2;0;0;2.4
0.41724;1.0505;2.6;0;0;0.1;0.2;0;0;0.4
0.42362;1.03022;1.4;0;0;0.1;0.2;0;0;0.4
0.41064;1.03026;0.9;0;0;0.1;0.2;0;0;0.6
0.40975;1.04128;1.5;0;0;0.1;0.2;0;0;0.7
0.41791;1.04022;2.7;0;0;0;0.1;0;0;0.2
0.4106;1.03657;2.6;0;0;0.1;0.2;0;0;0.2
0.4108;1.03553;1.4;0;0;0.1;0.3;0;0;1.3
0.42245;1.02469;0.9;0;0;0.1;0.2;0;0;1.2
0.40743;1.02749;0.6;0;0;0.1;0.3;0;0;1.2
0.41401;1.02699;0.9;0;0;0.1;0.3;0;0;1.2
0.40607;1.03639;0.9;0;0;0.1;0.2;0;0;0.2
0.41065;1.02624;2.6;0;0;0.1;0.2;0;0;0.2
0.40866;1.0266;1.4;0;0;0;0.2;0;0;2.5
0.40613;1.05702;2.7;0;0;0.2;0.2;0;0;2.4
0.41203;1.02669;2.6;0;0;0.1;0.2;0;0;2.4
0.41605;1.03638;2.6;0;0;0.1;0.2;0;0;2.4
0.41008;1.02866;0.4;0;0;0.1;0.3;0;0;2.5
0.41302;1.05882;2.6;0;0;0;0.2;0;0;2.4
0.41178;1.03513;2.6;0;0;0.1;0.1;0;0;1.3
0.41739;1.03702;0.9;0;0;0.1;0.2;0;0;1.3
0.41397;1.03275;0.6;0;0;0.1;0.3;0;0;1.3
0.41543;1.03791;1.4;0;0;0.1;0.2;0;0;1.3
0.41582;1.03353;0.9;0;0;0.1;0.2;0;0;2.5
0.4169;1.04473;1.5;0;0;0.1;0.2;0;0;2.5
0.41219;1.04113;0.5;0;0;0.1;0.2;0;0;2.5
0.40919;1.03459;0.7;0;0;0.1;0.2;0;0;2.4
0.40968;1.0346;2.6;0;0;0.1;0.2;0;0;0.7
0.41383;1.02643;0.6;0;0;0.1;0.2;0;0;0.6
0.41349;1.03445;1.5;0;0;0;0.2;0;0;2.4
0.41001;1.03008;0.4;0;0;0.1;0.3;0;0;2.4
0.41187;1.03879;2.6;0;0;0.1;0.2;0;0;2.5
0.40944;1.02595;2.6;0;0;0.1;0.2;0;0;2.5
0.41042;1.0367;0.9;0;0;0.1;0.2;0;0;2.5
0.41157;1.04259;2.6;0;0;0.2;0.2;0;0;2.5
0.4104;1.02443;1.5;0;0;0.1;0.2;0;0;0.7
0.4155;1.0569;1.5;0;0;0.1;0.2;0;0;0.7
0.42272;1.03374;1.5;0;0;0.1;0.2;0;0;0.4
0.41105;1.03286;0.5;0;0;0.1;0.2;0;0;0.4
0.40956;1.02642;1.4;0;0;0.1;0.3;0;0;2.4
0.41012;1.02734;2.7;0;0;0.1;0.1;0;0;2.4
0.41182;1.02641;2.6;0;0;0.1;0.2;0;0;2.5
0.41229;1.03369;1.5;0;0;0.1;0.3;0;0;2.5
0.40809;1.02849;2.7;0;0;0;0.2;0;0;0.6
0.40898;1.03762;1.5;0;0;0;0.2;0;0;0.7
0.41339;1.02863;1.4;0;0;0.1;0.3;0;0;2.5
0.41137;1.02295;0.9;0;0;0;0.3;0;0;2.4
0.41267;1.02912;2.6;0;0;0.1;0.2;0;0;2.4
0.41903;1.0235;2.6;0;0;0;0.2;0;0;2.4
