Wczytywanie;Zapisywanie;Usuwanie;Usuwanie ostatniego;Usuwanie pierwszego;Usuwanie wszystkiego;Dodawanie;Dodawaniena pierwszego;Dodawanie ostatniego;Wyszukiwanie
0.01147;0.08029;0.3;0.5;0.2;0.8;0.3;0.4;0.4;0.1
0.0109;0.05003;0.4;0.5;0.3;3.7;0.4;0.4;0.4;0.2
0.011;0.05154;0.4;0.5;0.3;3.1;0.4;0.4;0.4;0.1
0.01107;0.05131;0.4;0.4;0.3;2.6;0.3;0.5;0.5;0
0.01118;0.05244;0.4;0.5;0.3;3.2;0.3;0.4;0.3;0.2
0.01095;0.0516;0.4;0.5;0.3;2.6;0.3;0.4;0.4;0.1
0.01107;0.05048;0.4;0.8;0.3;3.1;0.3;0.5;0.9;0.1
0.01135;0.05044;0.4;0.5;0.3;2.9;0.3;0.4;0.4;0.2
0.01108;0.04987;0.3;0.4;0.2;3.2;0.3;0.4;0.4;0.1
0.01123;0.05154;0.4;0.5;0.2;2.9;0.3;0.4;0.4;0.1
0.01102;0.05005;0.4;0.5;0.3;4.1;0.4;0.4;0.4;0.1
0.01102;0.05215;0.4;0.5;0.2;3;0.3;0.4;0.4;0.1
0.01096;0.05152;0.4;0.5;0.3;3;0.3;0.4;0.4;0.1
0.01285;0.05038;0.3;0.5;0.2;2.9;0.3;0.4;0.4;0.1
0.01111;0.04953;0.3;0.5;0.3;3.1;0.3;0.4;0.4;0.1
0.01087;0.05139;0.4;0.5;0.3;2.9;0.3;0.4;0.5;0.1
0.01115;0.05184;0.4;0.4;0.3;4.1;0.4;0.5;0.4;0.1
0.01106;0.05388;0.4;0.4;0.2;2.9;0.3;0.3;0.4;0
0.01785;0.05322;0.4;0.5;0.3;3;0.4;0.4;0.4;0.1
0.01142;0.05587;0.4;0.5;0.3;3.2;0.3;0.4;0.4;0.1
0.01255;0.05028;0.4;0.5;0.2;3.1;0.3;0.4;0.4;0.1
0.01073;0.05031;0.3;0.4;0.3;3;0.3;0.4;0.4;0.1
0.01098;0.05106;0.3;0.5;0.2;3.1;0.3;0.4;0.4;0.1
0.01084;0.05131;0.4;0.4;0.3;2.8;0.4;0.4;0.4;0.2
0.01083;0.05098;0.4;0.4;0.3;3.8;0.3;0.4;0.5;0.1
0.01083;0.05095;0.3;0.4;0.3;2.8;0.3;0.2;0.4;0.1
0.01091;0.05056;0.4;0.5;0.3;3.9;0.4;0.4;0.4;0.2
0.01108;0.05064;0.4;0.5;0.3;2.9;0.4;0.4;0.4;0.1
0.01145;0.06898;0.4;0.4;0.2;2.9;0.3;0.4;0.4;0.1
0.01101;0.05237;0.4;0.5;0.2;2.9;0.3;0.4;0.4;0.1
0.01095;0.0539;0.4;0.5;0.3;3.1;0.3;0.4;0.4;0.1
0.01098;0.04984;0.4;0.4;0.3;2.9;0.4;0.4;0.4;0.1
0.01579;0.04927;0.4;0.5;0.3;3;0.4;0.5;0.4;0.1
0.01098;0.04984;0.3;0.5;0.3;2.9;0.4;0.4;0.4;0.2
0.01086;0.05364;0.4;0.5;0.2;3.1;0.3;0.4;0.4;0.1
0.01115;0.05199;0.3;0.5;0.2;2.9;0.3;0.4;0.4;0.1
0.01101;0.0566;0.4;0.5;0.3;4;0.3;0.4;0.4;0.1
0.0113;0.04927;0.4;0.5;0.2;2.9;0.3;0.4;0.4;0.1
0.01093;0.05058;0.4;0.4;0.3;4.5;0.4;0.4;0.4;0.1
0.01077;0.05033;0.4;0.5;0.3;3;0.3;0.4;0.4;0.1
0.01081;0.05067;0.4;0.4;0.3;3;0.3;0.4;0.4;0.1
