Wczytywanie;Zapisywanie;Usuwanie;Usuwanie ostatniego;Usuwanie pierwszego;Usuwanie wszystkiego;Dodawanie;Dodawaniena pierwszego;Dodawanie ostatniego;Wyszukiwanie
0.39453;1.09866;3.9;4.1;4.6;0.9;4;4.2;4.1;0.9
0.39826;1.05314;4;4;4.5;0.6;4;4.1;4.1;1.3
0.40703;1.04847;4;4.1;4.5;0.6;3.9;4.2;4.1;2.1
0.39773;1.0458;4;4;4.6;0.5;4;4.1;4.1;1.7
0.40039;1.05026;4;4.1;4.6;0.6;4;4.1;4.1;0.6
0.39819;1.06035;4;4.1;4.6;0.5;3.9;4.1;4.1;2
0.40453;1.055;4;4.1;4.4;0.5;4;4.1;4.1;1
0.3985;1.05305;4;4;4.5;0.5;4;4.1;4.1;0.4
0.39812;1.06036;3.9;4.2;4.5;0.7;3.9;4.1;4.1;1.6
0.39681;1.0522;4;4.1;4.5;0.5;4;4.1;4.1;0.8
0.39557;1.04246;3.9;4;4.5;0.5;3.9;4.1;4.1;2.4
0.39543;1.05621;4;4;4.5;0.6;4.1;4;4.1;0.4
0.39952;1.04601;4;4.1;4.6;0.5;4.1;4.1;4.1;0.6
0.40014;1.04197;4.1;4.1;4.5;0.5;4.1;4;4.1;1
0.3989;1.04497;4;4;4.5;0.6;3.9;4;4.1;1.6
0.40003;1.03347;4;4;4.5;0.5;4.1;4.1;4.1;0.3
0.39767;1.03995;4;4.1;4.5;0.5;4;4.1;4.1;2.3
0.40112;1.05348;4.2;4.1;4.5;0.8;4.1;4;4.1;0.8
0.40212;1.03837;3.9;4.1;5;0.7;4;4;4.1;1
0.39888;1.03871;4.1;4;4.6;0.6;4;4;4;2
0.39971;1.03733;4;4.1;4.5;0.6;4;4.1;4;2
0.40798;1.03889;4;4.1;4.6;0.8;3.9;4.1;4.1;1.2
0.39567;1.03606;4;4;4.6;0.6;3.9;4;4.2;2.3
0.40038;1.04331;4;4.1;4.5;0.5;3.9;3.9;4.1;1.9
0.39902;1.03293;3.9;4;4.5;0.6;4;4;4.1;1
0.39893;1.03689;3.9;4;4.5;0.5;4;4.1;4;0.8
0.399;1.04144;4.1;4.1;4.5;0.5;3.9;4;4.1;1.7
0.40115;1.03029;3.9;4;4.6;0.5;3.9;4.1;4.1;1.9
0.39733;1.05191;3.9;4.1;4.5;0.6;4;4;4.1;2.1
