Dijkstra;Ford-Bellman;Prim;Kruskal
0.360971;0.060533;0.007327;0.031335
0.338148;0.052137;0.007271;0.030504
0.356004;0.057642;0.007299;0.030527
0.356319;0.056501;0.007198;0.030058
0.328808;0.053411;0.007191;0.030687
0.326848;0.05077;0.006957;0.02998
0.355088;0.059954;0.007126;0.031088
0.354938;0.063437;0.007062;0.029959
0.333789;0.054139;0.007292;0.030186
0.344481;0.061296;0.007274;0.029685
0.358995;0.056597;0.007165;0.029687
0.360258;0.055545;0.007108;0.030406
0.335974;0.053006;0.007141;0.029465
0.33388;0.056407;0.007082;0.030373
0.353462;0.062797;0.007251;0.031191
0.324889;0.053662;0.007009;0.029723
0.344223;0.058783;0.007023;0.029882
0.321017;0.049592;0.007222;0.030049
0.352523;0.06229;0.007119;0.030614
0.356872;0.061148;0.007265;0.029893
0.340519;0.055538;0.007109;0.030183
0.359933;0.059146;0.007236;0.029712
0.36212;0.060117;0.007151;0.029462
0.330133;0.050319;0.007316;0.030335
0.360539;0.054887;0.007315;0.029951
0.34783;0.05342;0.007048;0.031554
0.346417;0.05631;0.007213;0.030301
0.360127;0.058462;0.007078;0.030196
0.35189;0.058747;0.007264;0.031011
0.342618;0.05596;0.00713;0.029894
0.325561;0.052033;0.007304;0.030812
0.357012;0.059242;0.007179;0.030012
0.334484;0.057408;0.00717;0.030135
0.341928;0.05595;0.007196;0.03079
0.345539;0.053466;0.007377;0.030247
0.343128;0.051735;0.007037;0.029652
0.351971;0.057814;0.007256;0.029902
0.343706;0.056616;0.007135;0.030929
0.345403;0.059646;0.007307;0.030209
0.332064;0.057579;0.007193;0.029964
0.331838;0.054196;0.007283;0.030711
0.334866;0.057624;0.007136;0.029808
0.339998;0.058849;0.007248;0.030601
0.342675;0.056539;0.007132;0.030193
0.37986;0.064937;0.007197;0.029897
0.364501;0.06151;0.007094;0.030713
0.330072;0.055063;0.00709;0.029731
0.337397;0.052014;0.007374;0.029972
0.336607;0.059171;0.006912;0.030116
0.353389;0.061213;0.007142;0.030228
0.353387;0.060443;0.007168;0.030489
0.354982;0.056037;0.007136;0.030713
0.326856;0.053293;0.007018;0.029987
0.345173;0.056689;0.007196;0.030255
0.355744;0.061723;0.007067;0.029855
0.34982;0.057415;0.007036;0.029638
0.331932;0.052492;0.007053;0.029985
0.339844;0.053304;0.007072;0.030575
0.345326;0.053552;0.007167;0.030058
0.34332;0.060602;0.007229;0.030291
0.344575;0.05682;0.007172;0.030551
0.347644;0.052894;0.007066;0.029782
0.342323;0.057592;0.007119;0.030895
0.357672;0.064804;0.007244;0.030029
0.359605;0.061619;0.007267;0.030346
0.335346;0.058713;0.007401;0.030208
0.344065;0.053732;0.007084;0.030537
0.373918;0.060885;0.007034;0.029799
0.329082;0.054574;0.006803;0.029913
0.338252;0.056711;0.007081;0.029705
0.329915;0.053763;0.006923;0.02973
0.356711;0.062633;0.00705;0.029594
0.337102;0.057215;0.006927;0.029821
0.343737;0.05701;0.006991;0.029569
0.337225;0.05641;0.007064;0.030055
0.363938;0.059577;0.007034;0.030107
0.353038;0.061476;0.00699;0.029906
0.351772;0.058415;0.007157;0.030415
0.349148;0.063044;0.007128;0.029649
0.339071;0.048766;0.007014;0.031103
0.35111;0.057278;0.007257;0.03059
0.349744;0.061341;0.006985;0.030586
0.355545;0.054837;0.007123;0.029653
0.359631;0.061493;0.006974;0.029863
0.34115;0.056723;0.007003;0.030156
0.332206;0.055719;0.00731;0.029736
0.348602;0.059423;0.007004;0.030109
0.378693;0.066199;0.007087;0.031135
0.341345;0.059384;0.007007;0.030189
0.325916;0.053391;0.006997;0.029962
0.350896;0.056591;0.007011;0.029875
0.386295;0.068383;0.007098;0.030497
0.355117;0.056985;0.007274;0.030852
0.344581;0.055987;0.007012;0.029996
0.354353;0.05316;0.006988;0.030088
0.338141;0.058788;0.007016;0.030046
0.343736;0.058642;0.006742;0.029898
0.329202;0.060096;0.007212;0.029716
0.332348;0.052742;0.007211;0.030147
0.358501;0.05573;0.007171;0.029894
