Dijkstra;Ford-Bellman;Prim;Kruskal
0.367626;0.062961;0.007811;0.030762
0.363195;0.062381;0.007839;0.030526
0.346082;0.061382;0.007774;0.030968
0.359506;0.063077;0.007765;0.030596
0.336002;0.063729;0.007794;0.030588
0.366346;0.060586;0.007749;0.02998
0.327202;0.060595;0.007597;0.030254
0.337347;0.061462;0.007649;0.029907
0.370333;0.062406;0.00781;0.029871
0.341432;0.063865;0.007668;0.030023
0.334465;0.06021;0.007655;0.030392
0.334696;0.060654;0.00771;0.030184
0.351885;0.062106;0.007723;0.03003
0.335773;0.060573;0.00778;0.030216
0.322634;0.06198;0.007669;0.030403
0.325183;0.061064;0.007753;0.029942
0.339304;0.06516;0.007751;0.030266
0.359584;0.063403;0.007759;0.030581
0.366845;0.061901;0.007728;0.030138
0.334159;0.062897;0.007703;0.030318
0.331161;0.062326;0.007608;0.03064
0.334724;0.061618;0.007574;0.029744
0.338843;0.063119;0.007826;0.029623
0.351302;0.06397;0.007747;0.029786
0.355408;0.065664;0.007871;0.030213
0.336095;0.062538;0.007778;0.030373
0.349842;0.060754;0.007871;0.030316
0.344732;0.062513;0.007884;0.030082
0.337326;0.060727;0.007845;0.029897
0.321992;0.060042;0.007833;0.030194
0.340179;0.06198;0.007817;0.030267
0.330732;0.062459;0.007949;0.03088
0.339979;0.060836;0.00759;0.029612
0.326196;0.059688;0.007738;0.030337
0.333689;0.061655;0.007889;0.029935
0.356907;0.062555;0.007697;0.029788
0.331808;0.061129;0.007708;0.031233
0.361949;0.064265;0.00769;0.0312
0.328029;0.060824;0.007595;0.030139
0.331391;0.061897;0.007722;0.031756
0.3595;0.06039;0.007753;0.029854
0.361589;0.062326;0.007716;0.029568
0.34336;0.060398;0.007813;0.030076
0.361393;0.063092;0.00784;0.030019
0.33488;0.061957;0.007707;0.030627
0.351594;0.062265;0.007766;0.030029
0.32922;0.062226;0.007772;0.03098
0.346582;0.060846;0.007718;0.030783
0.339902;0.062612;0.007772;0.029579
0.355779;0.062037;0.007735;0.030867
0.339541;0.061831;0.00774;0.02989
0.357851;0.061541;0.007901;0.030595
0.337455;0.062376;0.007775;0.030224
0.332255;0.062247;0.007765;0.030342
0.344984;0.062516;0.007876;0.030368
0.333446;0.061675;0.007749;0.031541
0.339796;0.06212;0.007651;0.029724
0.339788;0.06151;0.007611;0.030573
0.370988;0.063504;0.007624;0.029578
0.355523;0.061915;0.007706;0.030347
0.36359;0.062393;0.007621;0.030503
0.337972;0.059653;0.007604;0.03033
0.342755;0.06265;0.007832;0.030117
0.352037;0.06316;0.00785;0.030541
0.353003;0.062238;0.007583;0.030175
0.337008;0.061751;0.007803;0.030198
0.351945;0.06177;0.007556;0.030276
0.377691;0.064234;0.007665;0.029887
0.341641;0.062376;0.007833;0.029855
0.340302;0.060664;0.007641;0.029725
0.353532;0.059302;0.00765;0.029978
0.331117;0.061501;0.007605;0.030458
0.344633;0.062993;0.007654;0.031069
0.328492;0.062992;0.007637;0.029858
0.355148;0.06084;0.007638;0.03029
0.353418;0.062597;0.007655;0.029849
0.344389;0.062674;0.007643;0.031234
0.345788;0.060905;0.007705;0.030749
0.34197;0.062951;0.007655;0.030088
0.340325;0.06153;0.007621;0.029921
0.351905;0.061693;0.007666;0.03062
0.334037;0.061208;0.007586;0.030985
0.365468;0.061798;0.007694;0.030511
0.328823;0.060377;0.007726;0.029995
0.359951;0.061584;0.007777;0.02997
0.335053;0.061608;0.007679;0.030436
0.348998;0.062581;0.00766;0.030012
0.341594;0.061763;0.007733;0.029846
0.356155;0.062395;0.0077;0.030906
0.341485;0.062428;0.007605;0.030485
0.337026;0.061481;0.007699;0.030221
0.350781;0.062564;0.007742;0.031107
0.334229;0.06167;0.007568;0.030443
0.340938;0.063824;0.007514;0.03019
0.341272;0.060923;0.007646;0.030269
0.343579;0.063567;0.007629;0.030151
0.349664;0.063637;0.007544;0.030528
0.343147;0.065101;0.007682;0.03003
0.328612;0.061188;0.007657;0.030527
0.345901;0.064188;0.00766;0.030458
